"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"322","25-2023.00","Career/Technical Education Teachers, Middle School",3.14,1.42,2.14,2,3.67,2.97,4.43,3.95,3.12,1.59,4.85,3,4.51,1.37,1.78,0.78,2.37,2.53,1.95,3.68,2.58,1.39,1.93,2.34,1.79,2.48,3.8,2.76,1.79,2.52,1.74,2.62,1.9
"323","25-2031.00","Secondary School Teachers, Except Special and Career/Technical Education",3.05,1.66,0.79,1.91,4.15,3.16,4.32,3.89,2.01,1.24,5.47,1.77,4.83,2.81,0.53,1.7,3.23,3.65,2.88,4.06,1.01,1.56,2.43,3.76,1.61,1.48,4.18,2.69,1.72,3.81,1.88,3.2,1.87
"324","25-2032.00","Career/Technical Education Teachers, Secondary School",3.73,2.13,2.32,2.59,3.87,2.85,3.92,4.37,2.91,2.24,5.32,2.87,4.54,1.19,1.35,0.68,2.11,2.05,2.83,3.73,2.94,1.66,3,2.05,2.54,2.8,3.81,3.01,3.36,2.55,1.91,2.81,1.89
"325","25-2052.00","Special Education Teachers, Kindergarten and Elementary School",3.14,1.73,0,1.08,4.16,2.72,3.8,4.27,0.91,0.23,4.99,0.59,4.67,1.11,0.37,1.12,2.93,2.63,2.93,3.61,0.13,1.65,1.89,3.01,0.64,0.35,4.41,2.82,0.42,3.22,1,3.61,0.99
"326","25-2053.00","Special Education Teachers, Middle School",3.16,2.93,0.16,2.4,4.15,3,4,4.47,1.28,0.93,5.6,0.98,5.09,1.33,0.23,1.08,3.51,3.29,2.82,4.34,0.58,1.48,1.85,3.12,1.37,0.79,4.65,2.4,1.16,3.24,0.85,3.99,1.53
"327","25-2054.00","Special Education Teachers, Secondary School",3.04,2.54,0.31,1.88,3.99,2.78,4.09,4.2,1.13,0.74,5.09,0.71,4.8,1.71,0.66,1.04,3.8,3.37,2.94,3.91,0.53,1.84,2.46,3.32,1.39,1.23,4.7,2.62,0.96,3.4,0.95,4.12,1.46
"328","25-2059.01","Adapted Physical Education Specialists",2.56,2.81,1.16,1.1,3.68,2.74,3.31,3.77,1.61,1,5.97,1.65,4.17,1.72,0.37,1.9,1.03,1.48,3.35,3.1,1.27,2.73,1.83,2.9,1.57,0.97,5.19,2.58,1,3.97,1.48,4.13,1.81
"329","25-3011.00","Adult Basic and Secondary Education and Literacy Teachers and Instructors",2.79,1.36,0,0.97,3.64,2.39,3.61,3.96,0.57,0.49,5.71,0.39,5.95,1.6,0.07,2.59,3.3,3.23,1.88,3.69,0.8,0.78,2.14,1.99,1.14,0.53,3.6,1.7,1.79,3.45,0.85,2.7,0.73
"330","25-3021.00","Self-Enrichment Education Teachers",2.13,0.61,0.34,0.68,2.44,3.53,2.78,4.85,0.4,1.46,5.38,0.2,4.27,2.14,0.03,1.18,1.12,1.2,1.98,2.33,1.03,1.05,2.23,1.01,1.08,0.42,2.62,1.7,3.02,1.8,0.86,1.51,1.2
"331","25-3099.02","Tutors",2.62,2.62,0.04,2.42,3.54,2.27,3.38,3.96,0.42,0.73,4.54,0.27,5.46,0.72,0,0.92,2.35,2.32,1.88,4.81,0.23,0.85,2.65,2.6,2.08,0.62,3.42,1.54,1.88,2.96,0.85,1.88,0.77
"332","25-4011.00","Archivists",4.35,0.97,0.94,2.03,5.12,3.31,4.44,4.75,1.5,1.44,3.97,1.06,4.84,1.88,0.09,2.62,2.94,5.03,3.56,2.41,0.97,0.31,3.22,2.53,0.34,1.59,1.91,2.66,2,3.34,1.25,0.59,1.1
"333","25-4012.00","Curators",4.21,1.57,1.21,1.36,4.27,3.74,3.88,4.21,2.36,2.2,5.21,1.42,5.38,4.43,0.08,2.38,4.19,5.02,2.28,2.38,1.12,0.45,3.37,3.43,1.05,1.04,2.35,2.5,2.98,4.14,1.28,0.57,1.49
"334","25-4013.00","Museum Technicians and Conservators",3.34,2.27,2.14,4.49,4.16,2.71,4.24,2.83,3.48,1.76,2.96,3.21,4.9,4.54,0.23,1.98,2.23,4.58,1.49,2.39,3.11,0.31,1.41,1.48,2.47,2.81,1.05,3.05,1.5,2.14,0.77,0.23,2.26
"335","25-4021.00","Librarians",3.71,0.8,0.62,1.03,4.56,3.5,4.63,4.75,1.96,2.1,5.08,0.86,5.1,1.44,0.21,1.95,3.03,3.4,2.8,2.79,1.3,0.85,3.17,2.95,0.47,1.43,3.4,2.52,3.03,3.34,1.85,1.71,0.76
"336","25-4031.00","Library Technicians",2.15,0.17,0.14,0.32,4.99,2.06,4.67,3.15,0.26,2.03,3.19,0.1,3.74,0.66,0.05,0.6,1.02,1.57,2.99,2.53,0.13,0.4,0.91,0.79,0.11,2.03,0.82,0.74,0.96,1.62,1.04,0.24,0.25
"337","25-9011.00","Audio-Visual and Multimedia Collections Specialists",3.67,0.63,1.14,1.19,4.4,4.15,5.27,4.85,3.14,1.55,4.6,2.95,4.11,2.49,0.08,1.15,1.66,1.6,1.88,3.07,2.89,0.4,3.1,1.85,1.79,2.81,2.73,2.56,2.33,2.01,3.51,1.07,1.35
"338","25-9021.00","Farm and Home Management Advisors",4.17,4.45,1.24,3.93,4.03,4,3.76,5.48,2.24,2.83,6.03,2.28,5.07,0.62,4.31,1.55,3.83,2.38,3.03,4.07,2.55,1.34,3.45,2.21,1.9,2,3.86,3.17,3.17,3.76,1.66,2.38,1.97
"339","25-9031.00","Instructional Coordinators",4.32,2.23,0.64,1.99,4.89,3.87,4.54,4.88,1.93,2.52,6.68,1.72,5.63,1.92,0.62,2.86,3.32,2.71,3.46,4.65,0.89,2.1,4.74,4,1.55,1.78,4.63,3.51,2.39,4.23,1.56,4.18,1.74
"340","25-9031.01","Instructional Designers and Technologists",4,0.22,0.39,0.17,3.82,4.96,5.27,4.57,3.91,1.65,6.78,2.78,5.48,1.3,0.13,1.09,1,0.74,1.78,3.09,0.83,0.13,2.83,2.09,0.09,2.35,3.87,1.43,3.35,3.65,2.35,1.27,0.65
"341","25-9041.00","Teacher Assistants",1.3,0.93,0.08,0.94,2.7,2.03,2.83,3.46,0.81,0.26,3.47,0.43,3.42,0.99,0.76,0.37,2.44,2.11,1.89,2.54,0.25,1.43,0.65,1.86,0.66,0.18,3.49,1.97,0.37,2.52,0.76,2.49,0.94
"342","27-1011.00","Art Directors",4.5,0.57,1.1,0.39,4,5.5,5.17,4.85,4.1,2.18,3.22,2.26,5.06,5.03,0.51,0.91,2.9,1.97,2.1,3.15,1.12,0.69,3.14,2.06,0.43,2.92,2.62,0.67,5.19,4.35,2.73,1.43,1.23
"343","27-1012.00","Craft Artists",2.88,0.36,1.27,2.39,3.24,1.82,2.12,3.55,3.82,2,2.13,2.39,2.91,5.18,0,0.36,0.76,1,1.73,2.94,3.7,0.15,1.88,0.76,1.15,4.12,1.3,0.79,4.3,0.91,0.61,0.21,2.3
"344","27-1013.00","Fine Artists, Including Painters, Sculptors, and Illustrators",3.36,0.86,1.6,2.62,3.19,2.96,3.3,3.75,4.76,2.6,2.75,1.95,3.46,6.21,0,0.69,1.79,2.42,1.71,3.4,3.07,0.45,1.85,1.97,1.65,3.45,2.37,0.76,3.9,1.91,0.49,0.89,1.81
"345","27-1014.00","Multimedia Artists and Animators",2.77,0.79,0.2,0.12,2.31,5.36,4.83,3.43,4.93,1.08,2.29,1.38,3.91,5.5,0,0.49,0.99,1.03,1.07,1.79,1.09,0.09,2.09,0.9,1.25,2.3,1.47,0.89,2.44,1.34,1.28,0.28,0.86
"346","27-1021.00","Commercial and Industrial Designers",3.18,0.55,2.41,2.87,2.51,2.4,4.06,2.46,6.03,1.02,2.45,5.13,3.81,2.16,0.61,0.75,1.14,0.66,1.61,3.71,4.74,0.84,0.94,1.14,3.27,4.05,1.58,1.86,2.95,1.28,1.3,0.9,1.84
"347","27-1022.00","Fashion Designers",3.37,0.04,0.02,0.66,2.17,2.56,2.88,2.34,3.75,1.05,2.79,1.88,3.62,2.59,0.04,1.29,0.8,0.68,1.49,2.73,1.78,0.02,2.23,0.91,0.28,3.36,1.98,0.67,3.27,1.07,0.7,0.2,1.75
"348","27-1023.00","Floral Designers",3.22,1.25,0.26,1.23,2.08,1.69,2.07,3.58,2.89,1.48,2.21,0.51,3.1,1.88,0.61,0.5,0.74,0.41,0.75,2.22,0.87,0.12,1.91,0.97,0.59,3.41,1.76,1.19,3.14,0.88,1.06,0.12,2.35
"349","27-1024.00","Graphic Designers",3.72,0.11,0.38,0.36,3.66,4.64,4.62,3.93,5.28,1.28,2.59,1.69,4.19,5.14,0.21,0.39,1.32,2.11,1.79,2.41,0.83,0.19,2.32,1.57,0.24,3.59,2.36,0.89,4.31,3.39,1.68,0.26,0.7
"350","27-1025.00","Interior Designers",4.07,0.85,4.63,1.65,4.22,2.44,3.78,5.19,5.78,2.81,3.19,3.3,4.37,4.12,0.59,0.93,2.59,3.07,3.19,3.46,1.96,0.78,3.11,2.59,1.04,2.41,3.96,3.52,4.22,3,1.3,1.19,1.67
"351","27-1026.00","Merchandise Displayers and Window Trimmers",3.21,0.15,1.53,0.5,2.08,2.37,3.13,3.98,2.84,0.95,2.21,0.96,2.95,1.6,0.12,0.2,0.64,0.56,0.48,2.5,1.66,0.38,1.77,1.04,0.22,1.56,1.69,1.84,4.21,1.28,0.7,0.62,0.34
"352","27-1027.00","Set and Exhibit Designers",3.96,0.68,3.96,2.3,3.17,3.65,4.41,3.48,5.22,2.52,3.74,3.91,4.3,5.96,0.43,1.35,3.39,3.96,2,3.78,3.39,0.74,3.52,3.22,2.48,3.7,3.45,2.78,3.09,3.61,2.22,1,2.04
"353","27-2011.00","Actors",1.85,0.31,1.03,0.26,0.95,3.8,1.01,1.81,1.62,0.51,2.58,0.96,4.66,5.8,0.02,0.65,1.71,2.6,0.9,0.72,0.99,0.34,1.6,2.9,0.26,1.16,3.58,0.42,2.11,3.18,1.3,1.54,0.82
"354","27-2012.01","Producers",3.57,0.27,1.26,0.26,3.94,5.62,4.13,4.05,2.21,2.36,3.72,2.07,4.96,2.93,0.28,1.24,3.46,2.8,2.88,2.98,1.17,1.24,3.04,3.59,1.04,2.45,3.34,2.7,3,3.59,3.21,2.14,1.77
"355","27-2012.02","Directors- Stage, Motion Pictures, Television, and Radio",3.96,0.44,1.05,0.66,3.66,5.92,4.77,3.64,3.07,1.77,3.55,3.74,4.6,4.31,0.06,0.4,2.41,1.56,2.51,2.75,1.44,0.14,3.48,1.63,0.64,4.17,2.95,1.88,3.39,2.78,4.79,1.23,1.64
"356","27-2012.03","Program Directors",4.18,0.18,0.07,0.11,4.83,5.05,4.73,4.82,0.59,2.4,4.22,2.28,5.03,1.92,0.43,0.67,2.17,1.76,3.06,3.09,1.21,0.41,4.25,2.11,0.41,2.6,2.52,2.47,3.19,1.59,4.02,1.12,1.59
"357","27-2012.04","Talent Directors",3.42,0.08,0.27,0.1,4.36,3.71,4.06,3.96,0.71,2.11,2,0.62,3.72,4.69,0.14,0.83,1.21,1.14,1.79,1.77,0.48,0.2,2.65,1.57,0.34,1.68,3.01,1.06,2.92,2.09,2.25,1.07,1.07
"358","27-2012.05","Technical Directors/Managers",3.98,0.21,1.02,0.5,2.94,5.44,4.5,3.91,1.25,1.36,4,3.98,4.61,2.76,0.01,0.71,1.52,1.02,1.17,2.44,1.32,0.23,2.55,1.28,1.11,3.69,1.9,1.73,2.63,1.38,4.08,1.41,1.22
"359","27-2021.00","Athletes and Sports Competitors",2.73,0.26,0.75,0.33,1.11,2.95,0.58,2.27,0.33,1.05,3.03,0.98,2.67,0.21,0.58,0.69,0.58,0.91,1.48,1.32,0.94,2.24,2.28,1.64,0.67,0.55,3.2,1.22,2.75,1.62,0.73,2.38,1.81
"360","27-2022.00","Coaches and Scouts",3.84,1.91,0.93,0.73,3.11,2.81,2.6,4.18,0.99,2.25,4.86,0.76,4.78,0.72,0.24,1.12,1.6,0.78,1.83,2.62,1.23,1.34,3.5,1.45,1.44,1.76,3.7,2.37,3.41,2.01,1.42,2.78,2.31
"361","27-2023.00","Umpires, Referees, and Other Sports Officials",2.82,0.27,0.22,0.06,2.06,1.94,2.47,3.24,0.09,0.79,3.76,0.52,3.12,0.3,0.15,0.97,0.67,0.42,1.94,1.88,0.42,0.64,1.88,0.97,0.61,0.42,3.36,2.3,1.67,1.7,0.73,0.91,1.06
"362","27-2031.00","Dancers",1.17,0.45,0.23,0.3,1.03,2.07,0.96,1.16,0.81,0.46,2.47,0.68,1.63,5.31,0.25,1.33,0.75,0.83,0.56,1.46,0.15,1.52,0.87,1.14,1.01,0.77,1.56,0.54,1.62,1.75,0.25,1.45,1.17
"363","27-2032.00","Choreographers",3.8,0.64,0.72,0.32,2.08,4.08,1.8,1.92,2.36,1.32,5,0.44,3.64,6.52,0,2.52,1.6,3.4,1.08,1.96,0.6,1.28,3.24,3.6,1.5,0.68,4,0.64,2.8,3.8,1.08,2.12,1.44
"364","27-2041.01","Music Directors",3.74,0.38,1.32,0.02,3.15,3.92,3.77,4.11,1.41,0.83,5.47,1.11,3.97,5.88,0.15,2.19,2.47,2.91,2.67,2.28,1.32,0.59,3.65,4.41,0.57,1.14,3.79,1.48,2.27,2.64,2.18,2.71,1.64
"365","27-2041.04","Music Composers and Arrangers",3.67,0.07,0.23,0,3.77,4.38,5.38,4.52,3.02,1.89,2.75,1.84,3.62,5.97,0.14,0.32,1.07,1.08,1.99,2.1,0.69,0.07,1.9,2.47,0.36,3.35,2.6,0.41,3.82,1.69,1.09,0.61,1.16
"366","27-2042.01","Singers",2.68,0.55,0,0,1.67,3.26,2.8,3.65,0.4,1.23,3.14,0.83,3.57,4.48,0,1.04,0.5,1.34,0.5,2.15,0.68,0.55,0.8,2.38,0,0.95,2.75,0.17,3.42,1.34,0.51,1.04,1.97
"367","27-2042.02","Musicians, Instrumental",0.87,0,0,0,0.33,1.66,1.57,0.96,0.44,0.35,3.24,0.85,2.88,6.02,0,1.55,0.53,1.54,0.9,1.83,0.81,0.53,1.87,0.91,0.48,0.86,3.41,0.69,0.24,2.34,0.35,0.67,1.51
"368","27-3011.00","Radio and Television Announcers",2.76,0.44,0.39,0.37,2.77,4.79,4.11,3.44,1.19,1.03,3.13,1.88,4.55,2.55,0.04,1.16,2.7,2.31,2.34,2.5,1.41,0.32,2.08,1.83,0.53,1.44,2.49,2.01,2.76,2.04,3.3,1.09,1.1
"369","27-3012.00","Public Address System and Other Announcers",2.07,0,0.24,0.19,2.45,2.47,4.28,4.5,0.46,1.39,1.82,1.08,2.4,1.03,0.09,0.37,0.34,0.06,0.62,0.94,1.19,0.02,1.46,0.76,0.24,1.24,1.29,0.75,3.88,0.81,1.87,0.19,1.08
"370","27-3021.00","Broadcast News Analysts",3.68,0.77,0.05,0.66,3.17,5.94,4.44,2.88,0.7,1.02,3.29,1.81,5.53,1.52,0.3,1.91,3.46,2.76,3.03,2.68,0.81,0.93,1.85,2.51,0.59,1.25,2.74,2.17,2.36,3.4,3.75,0.72,1.69
"371","27-3022.00","Reporters and Correspondents",3.18,1.5,0.59,0.9,3.05,5.5,3.45,2.82,0.86,2,2.45,0.91,5.55,1.64,0.82,2,4.32,3.68,3.59,3.33,1.05,1.45,1.5,3.32,0.81,0.68,2.82,2.82,1.77,3.77,2.36,0.95,2.36
"372","27-3031.00","Public Relations Specialists",4.25,0.62,0.42,0.5,4.33,5.5,3.67,4.88,2,2.46,3.62,1.08,5.33,1.96,0.33,1.33,2.83,1.96,2.71,3.08,0.62,0.58,2.96,2.29,0.42,1.58,2.62,1.96,5.21,3.71,1.5,1.42,1.54
"373","27-3041.00","Editors",3.58,1.07,0.05,0.91,3.89,5.64,3.89,3.13,1.9,0.87,3.32,1.2,5.38,2.48,0.03,1.56,3.47,2.81,3.08,2.57,0.72,0.93,1.7,2.18,0.74,1.54,2.26,2.16,1.32,2.21,1.89,0.87,2.01
"374","27-3042.00","Technical Writers",3.82,0.61,0.68,1.36,5.15,4.17,4.86,2.58,2.67,1,4.13,3.22,5.39,0.23,0,0.27,0.64,0.25,1.9,3.36,2.88,0.98,1.17,0.1,1.42,3.05,1.63,3.56,1.39,0.69,2.47,0.23,1.24
"375","27-3043.04","Copy Writers",3.26,0.01,0.3,0.24,3.53,4.69,3.78,3.99,1.48,1.25,2.24,1.26,5.12,1.42,0,0.57,1.08,0.86,1.76,1.85,0.64,0.47,2.09,1.12,0.13,1.52,1.82,0.79,4.87,2.2,1.85,0.63,0.44
"376","27-3043.05","Poets, Lyricists and Creative Writers",2.22,0.81,0.12,0.78,4,5.84,3.56,2.5,1.31,1.91,2.29,0.94,5.94,4.78,0.06,2.62,2.81,3.28,2.81,1.62,0.47,0.74,0.94,4.28,0.69,1.69,3.97,0.87,4.44,4.12,1.44,1.35,1.44
"377","27-3091.00","Interpreters and Translators",3.03,1.4,0.32,1.09,4.45,3.61,4.12,5.07,0.79,1.53,3.96,1.13,5.78,1.52,0.55,6.63,3.56,2.61,3.84,2.33,0.88,1.47,2.36,3.66,1.23,1.62,3.39,2.57,2.92,3.27,2.34,2.04,1.61
"378","27-4011.00","Audio and Video Equipment Technicians",2.1,0.11,0.9,0.88,2,4.46,4.49,3.88,2.68,0.88,3.52,3.24,3.49,2.41,0,0.95,1.41,1.23,1.54,2.49,2.8,0.22,1.43,1.57,0.9,3.17,2.34,2,1.25,1.09,4.31,0.42,1.33
"379","27-4012.00","Broadcast Technicians",3.27,0.59,2.43,1.68,3.05,4.3,4.87,2.92,2.22,1.34,3.28,4.18,3.26,0.77,0,0.19,1.91,0.86,1.99,3.49,3.58,0.35,1.87,1.35,2.15,2.81,2.28,2.66,1.51,1.14,4.35,0.84,1.6
"380","27-4013.00","Radio Operators",1.94,1.07,0.29,0.81,3.51,3.75,4.08,5.32,0.63,0.74,2.49,1.21,3.87,0.05,0.07,0.55,2.56,0.68,2.54,1.6,1.05,1.41,2.18,1.74,1.26,0.83,3.59,3.93,0.94,1.5,3.46,1.48,3.09
"381","27-4014.00","Sound Engineering Technicians",3.25,0.25,1.81,0.53,2.72,4.16,4.94,4.19,1.97,1.44,2.41,4.03,3.22,4.28,0.19,1.25,0.91,0.91,0.94,2.47,2.78,0.28,2.03,1.25,2.06,3.12,3.13,0.91,2.56,1.97,2.88,1.19,1.22
"382","27-4021.00","Photographers",3.69,0.2,1.04,1.16,3.5,3.73,4.76,5.04,2.84,2.46,2.31,1.44,3.81,4.58,0.12,0.81,1.58,1.12,1.77,2.46,2.42,0.23,2.27,1.5,1.36,2.88,3.6,1.38,4.85,2,1.42,0.62,1.38
"383","27-4031.00","Camera Operators, Television, Video, and Motion Picture",2.5,0.02,0.73,0.33,1.98,4.53,4.94,1.87,1.2,0.8,2.5,3.37,3.25,1.94,0.1,1.19,2.08,1.11,1.68,1.88,2.39,0.21,1.37,1.45,0.57,1.77,1.94,1.72,1.8,1.42,3.78,0.59,1.98
"384","27-4032.00","Film and Video Editors",3.43,0,0.45,0.36,3.01,5.01,4.83,3.02,2.44,0.5,2.51,2.56,3.92,3.38,0.04,0.69,1.51,1.17,0.65,2.29,1.73,0.08,1.74,0.91,0.92,3.69,0.94,0.58,2.93,0.88,2.72,0.21,0.5
"385","29-1011.00","Chiropractors",3.89,4.44,0.28,2.72,4.49,2.46,4.35,5.43,1.96,3.08,4.63,2.05,4.45,0.35,0.26,1.52,1.46,1.29,2.75,3.4,2.15,4.35,3.86,2.71,1.89,1.63,4.85,2.59,4.25,3.31,1.25,4.22,0.68
"386","29-1021.00","Dentists, General",3.4,3.72,1.25,3.79,2.91,1.51,3.66,5.43,2.56,2.67,3.84,2.68,4.14,0.68,0.29,1.34,0.77,0.57,2.3,2.34,3.33,5.69,3.56,0.68,2.64,2.48,4.04,2.23,2.6,1.55,1.33,2.39,0.65
"387","29-1022.00","Oral and Maxillofacial Surgeons",4.07,4.77,1.34,4.21,3.01,2.68,3.5,5.03,2.49,2.54,4.72,2.17,4.76,0.5,0.17,2.5,1.9,1.7,3.03,3.31,2.68,6.61,3.75,2.45,2.31,2,5.22,2.82,3.18,2.43,1.92,3.99,1.4
"388","29-1023.00","Orthodontists",3.71,4.47,0.4,3.39,3.12,1.82,3,4.74,2.13,3.22,3.17,2.78,4.4,0.45,0.24,0.65,0.35,0.28,2.28,3.83,2.06,5.8,3.66,1.08,3.36,2.07,3.57,1.35,3.92,1.93,1.08,1.68,0.57
"389","29-1024.00","Prosthodontists",4.37,4.31,0.98,4.76,2.61,1.93,2.58,5.47,3.56,2.88,4.28,4.42,3.97,2.04,0.08,0.68,0.49,1.26,2.87,2.92,3.94,6.38,3.79,1.21,3.57,3.69,4.81,2.43,3.28,2.18,0.73,2.7,0.49
"390","29-1031.00","Dietitians and Nutritionists",3.64,4.13,0.43,3.57,4.14,3.17,3.48,5.3,0.91,2.32,5.48,1.48,4.36,0.04,2.65,1.65,0.83,0.78,2.74,4.09,0.96,3.95,3.26,3.43,1.04,1.87,4.78,2.26,2.77,3.87,1.26,4.5,0.77
"391","29-1041.00","Optometrists",4.04,4.7,0.09,4,4.09,2.41,3.39,4.91,1.3,3.43,3.77,1.48,4.05,0.13,0,1.7,1.09,0.57,2.86,4.09,1.7,5.41,3.74,1.43,3.26,2.74,4.48,2.32,3.91,2.48,1.05,4,1.04
"392","29-1051.00","Pharmacists",3.46,4.06,0.01,4.64,4.01,1.86,3.79,5.03,0.7,1.96,3.73,0.79,3.55,0,0.11,0.77,0.42,0.14,3.44,4.37,0.65,4.53,2.6,1.35,1.12,2.87,4.69,1.87,2.55,1.56,1.44,3.75,0.74
"393","29-1061.00","Anesthesiologists",3.35,5.03,0.39,4.39,2.04,1.9,3.5,4.63,0.65,1.77,4.3,2.54,4.19,0.11,0.06,1.55,0.59,0.29,2.65,3.59,2.36,6.46,2.64,1.63,3.8,1.59,4.66,1.78,0.84,1.85,1.17,3.03,0.56
"394","29-1062.00","Family and General Practitioners",3.08,4.83,0.75,3.4,2.28,1.51,3.15,6.05,0.59,1.79,4.41,0.85,4.12,0.24,0.2,1.89,0.82,0.82,3.19,4.31,1.49,6.31,3.16,2.67,2.43,0.62,6.16,2.12,2.04,3.07,1.01,5.61,0.75
"395","29-1063.00","Internists, General",4.18,4.4,0.56,3.71,3.59,1.91,4.09,6.03,0.57,3.09,4.72,0.75,5.54,0.24,0.33,2.05,1.78,1.07,3.35,3.1,1.51,6.28,3.46,2.63,1.96,1.45,6.07,3.46,2.38,4.62,1.43,5.7,1.4
"396","29-1064.00","Obstetricians and Gynecologists",3.54,5.74,0.33,3.99,3.21,2.58,3.67,6.37,1.64,3.02,4.81,2.65,5.18,1.04,0.57,1.94,1.47,1.5,3.36,3.94,2.05,6.59,3.98,3.19,2.94,1.58,5.14,3.09,3.1,3.23,1.83,5.1,1.9
"397","29-1065.00","Pediatricians, General",3.76,4.89,0.76,3.56,2.97,2.33,3.85,5.28,1.49,2.76,4.44,1.73,4.77,0.45,0.49,1.9,2.11,0.92,2.8,4.13,1.28,5.85,3,3.02,1.61,1.62,5,2.66,2.98,3.59,1.38,5.72,1.32
"398","29-1066.00","Psychiatrists",3.43,4.57,0.05,3.68,2.97,2.02,3.72,4.92,0.17,1.54,5,0.62,5.05,0.35,0.04,1.86,2.06,1.17,3.21,3.03,0.24,5.82,2.75,4.11,1.37,0.48,6.6,2.5,1.61,4.46,0.98,6.72,1.27
"399","29-1067.00","Surgeons",3.59,5.11,1.37,3.71,2.63,2.97,3.92,5.73,2.47,2.6,5.23,3.47,5.54,0.5,0.37,2.05,1.18,1.31,3.59,3.41,3.79,6.77,4.04,2.77,3.06,2.23,4.91,2.76,3.81,3,2.46,4.89,1.1
"400","29-1069.01","Allergists and Immunologists",4.5,5.33,0.34,3.63,3.59,2.87,4.01,5.29,0.84,3.33,5.08,2.01,4.75,0.23,0.87,1.24,2.31,0.75,3.53,4.06,0.98,6.36,3.99,2.31,1.53,2.26,5.01,3.2,3.08,3.12,1.99,4.74,1.19
"401","29-1069.02","Dermatologists",3.46,5.05,0.14,2.62,2.1,2.66,3.07,4.44,1.02,2.18,3.96,1.13,4.48,0.85,0.14,1.74,1.75,1.25,2.62,3.24,0.34,6.09,2.91,2.14,1.17,1.76,4.51,1.95,2.65,2.84,0.9,3.38,0.85
"402","29-1069.03","Hospitalists",3.12,5.24,0.04,3.72,2.4,1.4,3.54,5.04,0.75,1.88,3.79,1.12,4.38,0,0,1.28,1.56,0.62,2.88,3.42,0.72,6.08,2.54,2.29,2,0.76,5.64,2.17,1.52,3.12,0.88,5.08,0.48
"403","29-1069.04","Neurologists",3.82,5.14,0.39,4.63,3.53,2.94,4.71,4.45,0.5,2.07,4.97,1.85,5.31,0,0,2.66,0.65,0.18,3.19,4.49,0.37,6.45,3.66,3.46,1.94,0.38,5.74,1.95,1.17,3.07,1.47,5.44,1.83
"404","29-1069.05","Nuclear Medicine Physicians",3.64,4.78,0.43,4.26,3.45,2.3,4.17,4.39,0.91,1.73,4.52,2.17,4.74,0.26,0.04,1.35,0.17,0.57,2.73,4.13,1.17,6.27,3.3,1.26,4.57,1.36,3.59,3.22,1.96,1.48,1.7,3.64,0.74
"405","29-1069.06","Ophthalmologists",3.63,5.18,0.62,3.55,3.22,2.3,3.51,5.07,1.11,2.68,5.04,2.63,5.28,0.44,0,1.8,1.13,0.55,2.87,4.14,2.57,6.46,3.98,2.57,3.32,1.2,4.64,2.38,2.74,1.9,2.03,4.43,0.72
"406","29-1069.07","Pathologists",4.32,6.29,0.69,4.49,4.44,2.85,4.69,4.91,1.44,2.55,5.34,2.24,5.99,0.27,0.4,0.4,1.41,1.25,3.82,3.79,2.09,6.7,4.43,2.07,2.22,3.55,3.97,4.29,2.04,1.96,1.79,2.18,1.89
"407","29-1069.08","Physical Medicine and Rehabilitation Physicians",4.11,5.32,0.75,4.32,3.62,3.39,3.93,5.48,2.51,2.44,5.93,3.03,5.32,0.97,0.23,2.41,1.98,1.31,3.98,3.96,2.99,6.3,4.05,3.72,3.6,2.57,5.5,3.2,3.54,4.43,1.76,6.03,2.47
"408","29-1069.09","Preventive Medicine Physicians",4.77,5.43,1.1,3.83,3.67,3.5,3.9,5.47,0.93,2.7,5.53,1.9,5.07,0.5,1.2,2.2,3.6,2.5,4.13,4.53,1.52,5.8,4.23,3.53,2.07,1.37,5.2,4.13,2.8,4.7,1.83,4.57,1.8
"409","29-1069.10","Radiologists",3.57,5.08,1.3,3.61,3.42,2.5,4.26,4.52,2.43,2.64,4.9,3.29,5.43,0.57,0.41,1.64,1.8,0.75,3.08,3.78,1.59,6.24,3.51,1.64,4.08,3.09,4.46,3.93,2.83,2.62,2.44,3.52,1.18
"410","29-1069.11","Sports Medicine Physicians",4.29,5,0.45,3.02,2.26,2.3,2.54,3.67,0.35,1.85,4.98,1.13,5.57,0.31,0.01,0.25,0.09,0.38,2.03,3.48,2.15,6.64,3.84,0.5,2.09,0.51,4.7,0.55,2.71,0.93,0.22,2.78,0.17
"411","29-1069.12","Urologists",4.34,4.96,0.94,4.31,3.44,2.65,3.63,5.88,1,2.81,5.65,2.88,4.73,0.48,0.46,1.23,0.94,0.64,3.28,4.14,2.43,6.6,2.81,2.81,2.65,2.84,5.05,1.27,3.12,1.71,1.54,4.08,0.42
